beta=0.60
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue,avg_gcurve,sd_gcurve
8,0.922343,0.097394,0.946350,0.014972,0.918525,0.115087,0.934301,0.052882,0.942342,0.043825
9,0.919766,0.106622,0.946265,0.015810,0.915067,0.128647,0.933378,0.056732,0.941822,0.048156
10,0.917279,0.115480,0.946191,0.016526,0.911705,0.141838,0.932514,0.060388,0.941281,0.052384
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.951204,0.016772,0.947362,0.020534,0.953348,0.009091,0.952896,0.008945,0.945743,0.018251
2,0.942962,0.030393,0.935184,0.039272,0.946708,0.016461,0.946176,0.014822,0.933982,0.031254
3,0.939813,0.042235,0.927911,0.057682,0.944988,0.023063,0.944501,0.019375,0.928498,0.041425
4,0.937519,0.053060,0.921313,0.076018,0.944024,0.029336,0.943644,0.023252,0.924622,0.049975
5,0.935441,0.063157,0.914854,0.094345,0.943210,0.035369,0.943012,0.026475,0.921444,0.057442
6,0.933469,0.072643,0.908431,0.112647,0.942431,0.041194,0.942450,0.029367,0.918671,0.064173
7,0.931605,0.081566,0.902029,0.130861,0.941696,0.046710,0.941970,0.031956,0.916261,0.070305
8,0.929845,0.089956,0.895680,0.148994,0.940979,0.052003,0.941542,0.034261,0.914092,0.075890
9,0.928164,0.098045,0.889344,0.167039,0.940322,0.056962,0.941115,0.036497,0.912078,0.081130
10,0.926580,0.105716,0.883089,0.184931,0.939693,0.061697,0.940691,0.038685,0.910230,0.086070
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.950170,0.017705,0.952069,0.012610,0.953521,0.007947,0.953875,0.004365,0.953655,0.008427
2,0.940797,0.031929,0.944290,0.023642,0.947099,0.014242,0.947925,0.007031,0.947376,0.015127
3,0.936667,0.044200,0.941408,0.034404,0.945558,0.019891,0.946844,0.009231,0.945884,0.021072
4,0.933498,0.055291,0.939294,0.044942,0.944756,0.025207,0.946492,0.011192,0.945136,0.026561
5,0.930557,0.065604,0.937284,0.055481,0.944097,0.030270,0.946298,0.012759,0.944505,0.031907
6,0.927782,0.075345,0.935329,0.065922,0.943478,0.035160,0.946135,0.014322,0.943920,0.036988
7,0.925067,0.084628,0.933384,0.076377,0.942887,0.039812,0.945990,0.015674,0.943387,0.041874
8,0.922455,0.093407,0.931449,0.086730,0.942316,0.044407,0.945861,0.016803,0.942853,0.046621
9,0.919948,0.101789,0.929567,0.096915,0.941776,0.048791,0.945770,0.017793,0.942327,0.051251
10,0.917510,0.109733,0.927715,0.107006,0.941274,0.052886,0.945687,0.018639,0.941849,0.055670
